Trường: Trường Đại Học Sài Gòn (Mã: SGD)
Các khối thi / tổ hợp xét tuyển:

- X13: Toán, Sinh học, GDKTPL (22ngành)
- A04: Toán, Vật lí, Địa lí (24ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (6ngành)
- X05: Toán, Vật lí, GDKTPL (22ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (10ngành)
- H06: Ngữ văn, Tiếng Anh,Vẽ mỹ thuật (9ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (20ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (9ngành)
- N00: Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2 (6ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (28ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (6ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (28ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (9ngành)
- H02: Toán, Vẽ Hình họa mỹ thuật, Vẽ trang trí màu (20ngành)
- H04: Toán, Tiếng Anh, Vẽ Năng khiếu (20ngành)
- A05: Toán, Hóa học, Lịch sử (22ngành)
- T03: Ngữ văn, Địa, Năng khiếu TDTT (7ngành)
- A06: Toán, Hóa học, Địa lí (24ngành)
- X17: Toán, Lịch sử, GDKTPL (20ngành)
- X09: Toán, Hóa học, GDKTPL (22ngành)
- B02: Toán, Sinh học, Địa lí (24ngành)
- M02: Toán, Năng khiếu 1, Năng khiếu 2 (21ngành)
- C05: Ngữ văn, Vật lí, Hóa học (6ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (9ngành)
- M09: Toán, NK Mầm non 1( kể chuyện, đọc, diễn cảm), NK Mầm non 2 (Hát) (20ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (7ngành)
- M03: Văn, Năng khiếu 1, Năng khiếu 2 (6ngành)
- N01: Ngữ văn, xướng âm, biểu diễn nghệ thuật (7ngành)
- A03: Toán, Vật lí, Lịch sử (22ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (7ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (9ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (9ngành)
- M13: Toán, Sinh học, Năng khiếu (22ngành)
- V03: Vẽ mỹ thuật, Toán, Hóa (21ngành)
- H08: Ngữ văn, Lịch sử, Vẽ mỹ thuật (9ngành)
- T04: Toán, Lý, Năng khiếu TDTT (20ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (22ngành)
- C13: Ngữ văn, Sinh học, Địa lí (9ngành)
- S00: Ngữ văn, Năng khiếu SKĐA 1, Năng khiếu SKĐA 2 (6ngành)
- D20: Toán, Địa lí, Tiếng Trung (22ngành)
- D33: Toán, Sinh học, Tiếng Nhật (22ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (7ngành)
- D32: Toán, Sinh học, Tiếng Nga (22ngành)
- D34: Toán, Sinh học, Tiếng Pháp (22ngành)
- H07: Toán, Hình họa, Trang trí (20ngành)
- M10: Toán, Tiếng Anh, NK1 (20ngành)
- M11: Ngữ Văn, năng kiếu báo chí, Tiếng Anh (9ngành)
- V05: Văn, Vật lí, Vẽ mỹ thuật (6ngành)
- N05: Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu (6ngành)
- D16: Toán, Địa lí, Tiếng Đức (22ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (20ngành)
- V07: Toán, tiếng Đức, Vẽ mỹ thuật (20ngành)
- D35: Toán, Sinh học, Tiếng Trung (22ngành)
- D31: Toán, Sinh học, Tiếng Đức (22ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (7ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (6ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (9ngành)
- D68: Ngữ văn, GDKTPL, Tiếng Nga (6ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (20ngành)
- D70: Ngữ Văn, GDKTPL, Tiếng Pháp (6ngành)
- V08: Toán, tiếng Nga, Vẽ mỹ thuật (20ngành)
- D71: Ngữ văn, GDKTPL, Tiếng Trung (6ngành)
- V09: Toán, tiếng Nhật, Vẽ mỹ thuật (20ngành)
- M14: Ngữ văn, Năng khiếu báo chí, Toán (28ngành)
- N02: Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ (6ngành)
- V11: Toán, Tiếng Trung, Vẽ mỹ thuật (20ngành)
- C06: Ngữ Văn, Vật lí, Sinh học (6ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (9ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (9ngành)
- C09: Ngữ văn, Địa lí, Vật lí (7ngành)
- X24: Toán, Địa lí, Công nghệ nông nghiệp (22ngành)
- X23: Toán, Địa lí, Công nghệ công nghiệp (22ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (9ngành)
- C11: Ngữ văn, Địa lí, Hóa học (7ngành)
- B01: Toán, Lịch sử, Sinh học (22ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (9ngành)
- X58: Ngữ văn, Vật lí, GDKTPL (7ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (6ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (9ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (6ngành)
- X94: Ngữ Văn, GDKTPL, Tiếng Đức (6ngành)
- X29: Toán, GDKTPL, Tiếng Nga (20ngành)
- N03: Ngữ văn, Tiếng Anh, Năng khiếu âm nhạc (6ngành)
- X41: Toán, GDKTPL, Tiếng Đức (20ngành)
- N04: Ngữ Văn, Năng khiếu thuyết trình, Năng khiếu (6ngành)
- R00: Ngữ văn, Lịch sử, Năng khiếu báo chí (9ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (31ngành)
- R01: Ngữ văn, Địa lý, Năng khiếu nghệ thuật (7ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (22ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (9ngành)
- X62: Ngữ văn, Hóa học, GDKTPL (7ngành)
- R02: Ngữ văn, Toán, Năng khiếu nghệ thuật (28ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (22ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (22ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (22ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (20ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (20ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (22ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (20ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (22ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (22ngành)
- X14: Toán, Sinh học, Tin học (22ngành)
- D18: Toán, Địa lí, Tiếng Nhật (22ngành)
- X10, TH4: Toán, Hoá, Tin (22ngành)
- (Ngữ văn, Vật lí, Tiếng Hàn): Ngữ văn, Vật lí, Tiếng Hàn (6ngành)
- X75: Ngữ văn, Địa lí, Tin học (9ngành)
- D19: Toán, Địa lí, Tiếng Pháp (22ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (6ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (7ngành)
- X46: Toán, Tiếng Nhật, Tin học (20ngành)
- X22: Toán, Địa lí, Tin học (22ngành)
- D73: Ngữ văn, Khoa học tự nhiên, Tiếng Đức (6ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (31ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (9ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (28ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (31ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (9ngành)
- X53: Toán, GDKTPL, Tin học (20ngành)
- D96: Toán, Khoa học xã hội, Tiếng Anh (20ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (20ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (28ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (21ngành)
- AH5: Toán, Lịch sử, Tiếng Hàn (20ngành)
- D36: Toán, Lịch sử, Tiếng Đức (20ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (20ngành)
- D40: Toán, Lịch sử, Tiếng Trung (20ngành)
- D37: Toán, Lịch sử, Tiếng Nga (20ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (6ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (20ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (6ngành)
- M08: Ngữ Văn, Năng Khiếu 1, Năng Khiếu 2 (6ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (20ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (20ngành)
- D48: Ngữ văn, Hóa học, Tiếng Nhật (6ngành)
