Trường: Trường Đại Học CMC (Mã: CMC)
Các khối thi / tổ hợp xét tuyển:

- V05: Văn, Vật lí, Vẽ mỹ thuật (13ngành)
- N05: Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu (13ngành)
- D16: Toán, Địa lí, Tiếng Đức (18ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (18ngành)
- V07: Toán, tiếng Đức, Vẽ mỹ thuật (18ngành)
- D35: Toán, Sinh học, Tiếng Trung (18ngành)
- D31: Toán, Sinh học, Tiếng Đức (18ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (13ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (13ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (13ngành)
- D68: Ngữ văn, GDKTPL, Tiếng Nga (13ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (18ngành)
- D70: Ngữ Văn, GDKTPL, Tiếng Pháp (13ngành)
- V08: Toán, tiếng Nga, Vẽ mỹ thuật (18ngành)
- D71: Ngữ văn, GDKTPL, Tiếng Trung (13ngành)
- V09: Toán, tiếng Nhật, Vẽ mỹ thuật (18ngành)
- M14: Ngữ văn, Năng khiếu báo chí, Toán (18ngành)
- N02: Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ (13ngành)
- V11: Toán, Tiếng Trung, Vẽ mỹ thuật (18ngành)
- C06: Ngữ Văn, Vật lí, Sinh học (13ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (13ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (13ngành)
- C09: Ngữ văn, Địa lí, Vật lí (13ngành)
- X24: Toán, Địa lí, Công nghệ nông nghiệp (18ngành)
- X23: Toán, Địa lí, Công nghệ công nghiệp (18ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (13ngành)
- C11: Ngữ văn, Địa lí, Hóa học (13ngành)
- B01: Toán, Lịch sử, Sinh học (18ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (13ngành)
- X58: Ngữ văn, Vật lí, GDKTPL (13ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (13ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (13ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (13ngành)
- X94: Ngữ Văn, GDKTPL, Tiếng Đức (13ngành)
- X29: Toán, GDKTPL, Tiếng Nga (18ngành)
- N03: Ngữ văn, Tiếng Anh, Năng khiếu âm nhạc (13ngành)
- X41: Toán, GDKTPL, Tiếng Đức (18ngành)
- N04: Ngữ Văn, Năng khiếu thuyết trình, Năng khiếu (13ngành)
- R00: Ngữ văn, Lịch sử, Năng khiếu báo chí (13ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (18ngành)
- R01: Ngữ văn, Địa lý, Năng khiếu nghệ thuật (13ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (18ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (13ngành)
- X62: Ngữ văn, Hóa học, GDKTPL (13ngành)
- R02: Ngữ văn, Toán, Năng khiếu nghệ thuật (18ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (18ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (18ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (19ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (18ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (18ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (19ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (18ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (18ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (18ngành)
- X14: Toán, Sinh học, Tin học (18ngành)
- D18: Toán, Địa lí, Tiếng Nhật (18ngành)
- X10, TH4: Toán, Hoá, Tin (19ngành)
- (Ngữ văn, Vật lí, Tiếng Hàn): Ngữ văn, Vật lí, Tiếng Hàn (13ngành)
- X75: Ngữ văn, Địa lí, Tin học (13ngành)
- D19: Toán, Địa lí, Tiếng Pháp (18ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (13ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (13ngành)
- X46: Toán, Tiếng Nhật, Tin học (18ngành)
- X22: Toán, Địa lí, Tin học (18ngành)
- D73: Ngữ văn, Khoa học tự nhiên, Tiếng Đức (13ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (18ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (13ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (18ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (18ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (13ngành)
- X53: Toán, GDKTPL, Tin học (18ngành)
- D96: Toán, Khoa học xã hội, Tiếng Anh (18ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (18ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (18ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (19ngành)
- AH5: Toán, Lịch sử, Tiếng Hàn (18ngành)
- D36: Toán, Lịch sử, Tiếng Đức (18ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (18ngành)
- D40: Toán, Lịch sử, Tiếng Trung (18ngành)
- D37: Toán, Lịch sử, Tiếng Nga (18ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (13ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (18ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (13ngành)
- M08: Ngữ Văn, Năng Khiếu 1, Năng Khiếu 2 (13ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (18ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (18ngành)
- D48: Ngữ văn, Hóa học, Tiếng Nhật (13ngành)
- D49: Ngữ văn, Hóa học, Tiếng Pháp (13ngành)
- X36: Toán, Công nghệ nông nghiệp, Tiếng Pháp (18ngành)
- D51: Ngữ văn, Vật lí, Tiếng Đức (13ngành)
- D52: Ngữ văn, Vật lí, Tiếng Nga (13ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (13ngành)
- X39: Toán, Công nghệ công nghiệp, Tiếng Trung (18ngành)
- D56: Ngữ văn, Sinh học, Tiếng Đức (13ngành)
- X40: Toán, Công nghệ nông nghiệp, Tiếng Trung (18ngành)
- D57: Ngữ văn, Sinh học, Tiếng Nga (13ngành)
- D58: Ngữ văn, Sinh học, Tiếng Nhật (13ngành)
- D59: Ngữ văn, Sinh học, Tiếng Pháp (13ngành)
- D60: Ngữ văn, Sinh học, Tiếng Trung (13ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (13ngành)
- DH4: Ngữ văn, Sinh học, Tiếng Hàn (13ngành)
- X30: Toán, Tin học, Tiếng Nga (18ngành)
- X31: Toán, Công nghệ công nghiệp, Tiếng Nga (18ngành)
- X32: Toán, Công nghệ nông nghiệp, Tiếng Nga (18ngành)
- X34: Toán, Tin học, Tiếng Pháp (18ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (18ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (13ngành)
- R04: Ngữ văn, Biểu diễn nghệ thuật, Năng khiếu văn hóa nghệ thuật (13ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (13ngành)
- H09: Ngữ Văn, Địa, Năng khiếu (13ngành)
- H10; H11; H06: Ngữ Văn, Ngoại ngữ, năng khiếu (13ngành)
- X35: Toán, Công nghệ công nghiệp, Tiếng Pháp (18ngành)
- X83: Ngữ văn, Tin học, Tiếng Nga (13ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (18ngành)
