Trường: Học Viện Hàng không Việt Nam (Mã: HHK)
Các khối thi / tổ hợp xét tuyển:

- V05: Văn, Vật lí, Vẽ mỹ thuật (18ngành)
- N05: Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu (18ngành)
- D16: Toán, Địa lí, Tiếng Đức (33ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (33ngành)
- V07: Toán, tiếng Đức, Vẽ mỹ thuật (33ngành)
- D35: Toán, Sinh học, Tiếng Trung (34ngành)
- D31: Toán, Sinh học, Tiếng Đức (33ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (18ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (18ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (19ngành)
- D68: Ngữ văn, GDKTPL, Tiếng Nga (18ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (33ngành)
- D70: Ngữ Văn, GDKTPL, Tiếng Pháp (18ngành)
- V08: Toán, tiếng Nga, Vẽ mỹ thuật (33ngành)
- D71: Ngữ văn, GDKTPL, Tiếng Trung (19ngành)
- V09: Toán, tiếng Nhật, Vẽ mỹ thuật (33ngành)
- M14: Ngữ văn, Năng khiếu báo chí, Toán (33ngành)
- N02: Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ (18ngành)
- V11: Toán, Tiếng Trung, Vẽ mỹ thuật (33ngành)
- C06: Ngữ Văn, Vật lí, Sinh học (18ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (18ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (18ngành)
- C09: Ngữ văn, Địa lí, Vật lí (18ngành)
- X24: Toán, Địa lí, Công nghệ nông nghiệp (33ngành)
- X23: Toán, Địa lí, Công nghệ công nghiệp (33ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (18ngành)
- C11: Ngữ văn, Địa lí, Hóa học (18ngành)
- B01: Toán, Lịch sử, Sinh học (33ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (18ngành)
- X58: Ngữ văn, Vật lí, GDKTPL (18ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (18ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (18ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (18ngành)
- X94: Ngữ Văn, GDKTPL, Tiếng Đức (18ngành)
- X29: Toán, GDKTPL, Tiếng Nga (33ngành)
- N03: Ngữ văn, Tiếng Anh, Năng khiếu âm nhạc (18ngành)
- X41: Toán, GDKTPL, Tiếng Đức (33ngành)
- N04: Ngữ Văn, Năng khiếu thuyết trình, Năng khiếu (18ngành)
- R00: Ngữ văn, Lịch sử, Năng khiếu báo chí (18ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (33ngành)
- R01: Ngữ văn, Địa lý, Năng khiếu nghệ thuật (18ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (33ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (21ngành)
- X62: Ngữ văn, Hóa học, GDKTPL (18ngành)
- R02: Ngữ văn, Toán, Năng khiếu nghệ thuật (33ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (33ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (33ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (33ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (33ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (33ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (33ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (33ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (33ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (33ngành)
- X14: Toán, Sinh học, Tin học (33ngành)
- D18: Toán, Địa lí, Tiếng Nhật (33ngành)
- X10, TH4: Toán, Hoá, Tin (33ngành)
- (Ngữ văn, Vật lí, Tiếng Hàn): Ngữ văn, Vật lí, Tiếng Hàn (18ngành)
- X75: Ngữ văn, Địa lí, Tin học (18ngành)
- D19: Toán, Địa lí, Tiếng Pháp (33ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (19ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (18ngành)
- X46: Toán, Tiếng Nhật, Tin học (33ngành)
- X22: Toán, Địa lí, Tin học (33ngành)
- D73: Ngữ văn, Khoa học tự nhiên, Tiếng Đức (18ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (33ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (21ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (33ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (33ngành)
