Trường: Trường Đại Học Đại Nam (Mã: DDN)
Các khối thi / tổ hợp xét tuyển:

- V05: Văn, Vật lí, Vẽ mỹ thuật (43ngành)
- N05: Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu (43ngành)
- D16: Toán, Địa lí, Tiếng Đức (47ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (47ngành)
- V07: Toán, tiếng Đức, Vẽ mỹ thuật (47ngành)
- D35: Toán, Sinh học, Tiếng Trung (47ngành)
- D31: Toán, Sinh học, Tiếng Đức (47ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (43ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (43ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (43ngành)
- D68: Ngữ văn, GDKTPL, Tiếng Nga (43ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (47ngành)
- D70: Ngữ Văn, GDKTPL, Tiếng Pháp (43ngành)
- V08: Toán, tiếng Nga, Vẽ mỹ thuật (47ngành)
- D71: Ngữ văn, GDKTPL, Tiếng Trung (43ngành)
- V09: Toán, tiếng Nhật, Vẽ mỹ thuật (47ngành)
- M14: Ngữ văn, Năng khiếu báo chí, Toán (47ngành)
- N02: Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ (43ngành)
- V11: Toán, Tiếng Trung, Vẽ mỹ thuật (47ngành)
- C06: Ngữ Văn, Vật lí, Sinh học (43ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (43ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (43ngành)
- C09: Ngữ văn, Địa lí, Vật lí (43ngành)
- X24: Toán, Địa lí, Công nghệ nông nghiệp (47ngành)
- X23: Toán, Địa lí, Công nghệ công nghiệp (47ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (43ngành)
- C11: Ngữ văn, Địa lí, Hóa học (43ngành)
- B01: Toán, Lịch sử, Sinh học (49ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (43ngành)
- X58: Ngữ văn, Vật lí, GDKTPL (43ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (43ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (43ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (43ngành)
- X94: Ngữ Văn, GDKTPL, Tiếng Đức (43ngành)
- X29: Toán, GDKTPL, Tiếng Nga (47ngành)
- N03: Ngữ văn, Tiếng Anh, Năng khiếu âm nhạc (43ngành)
- X41: Toán, GDKTPL, Tiếng Đức (47ngành)
- N04: Ngữ Văn, Năng khiếu thuyết trình, Năng khiếu (43ngành)
- R00: Ngữ văn, Lịch sử, Năng khiếu báo chí (43ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (47ngành)
- R01: Ngữ văn, Địa lý, Năng khiếu nghệ thuật (43ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (55ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (43ngành)
- X62: Ngữ văn, Hóa học, GDKTPL (43ngành)
- R02: Ngữ văn, Toán, Năng khiếu nghệ thuật (47ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (52ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (52ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (52ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (47ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (47ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (52ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (47ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (47ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (47ngành)
- X14: Toán, Sinh học, Tin học (49ngành)
- D18: Toán, Địa lí, Tiếng Nhật (47ngành)
- X10, TH4: Toán, Hoá, Tin (53ngành)
- (Ngữ văn, Vật lí, Tiếng Hàn): Ngữ văn, Vật lí, Tiếng Hàn (43ngành)
- X75: Ngữ văn, Địa lí, Tin học (43ngành)
- D19: Toán, Địa lí, Tiếng Pháp (47ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (43ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (43ngành)
- X46: Toán, Tiếng Nhật, Tin học (47ngành)
- X22: Toán, Địa lí, Tin học (48ngành)
- D73: Ngữ văn, Khoa học tự nhiên, Tiếng Đức (43ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (47ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (46ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (52ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (47ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (43ngành)
- X53: Toán, GDKTPL, Tin học (47ngành)
- D96: Toán, Khoa học xã hội, Tiếng Anh (47ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (52ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (47ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (52ngành)
- AH5: Toán, Lịch sử, Tiếng Hàn (47ngành)
- D36: Toán, Lịch sử, Tiếng Đức (47ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (47ngành)
- D40: Toán, Lịch sử, Tiếng Trung (47ngành)
- D37: Toán, Lịch sử, Tiếng Nga (47ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (43ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (47ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (43ngành)
- M08: Ngữ Văn, Năng Khiếu 1, Năng Khiếu 2 (43ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (47ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (47ngành)
- D48: Ngữ văn, Hóa học, Tiếng Nhật (43ngành)
- D49: Ngữ văn, Hóa học, Tiếng Pháp (43ngành)
- X36: Toán, Công nghệ nông nghiệp, Tiếng Pháp (47ngành)
- D51: Ngữ văn, Vật lí, Tiếng Đức (43ngành)
- D52: Ngữ văn, Vật lí, Tiếng Nga (43ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (43ngành)
- X39: Toán, Công nghệ công nghiệp, Tiếng Trung (47ngành)
- D56: Ngữ văn, Sinh học, Tiếng Đức (43ngành)
- X40: Toán, Công nghệ nông nghiệp, Tiếng Trung (47ngành)
- D57: Ngữ văn, Sinh học, Tiếng Nga (43ngành)
- D58: Ngữ văn, Sinh học, Tiếng Nhật (43ngành)
- D59: Ngữ văn, Sinh học, Tiếng Pháp (43ngành)
- D60: Ngữ văn, Sinh học, Tiếng Trung (43ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (43ngành)
- DH4: Ngữ văn, Sinh học, Tiếng Hàn (43ngành)
- X30: Toán, Tin học, Tiếng Nga (47ngành)
- X31: Toán, Công nghệ công nghiệp, Tiếng Nga (47ngành)
- X32: Toán, Công nghệ nông nghiệp, Tiếng Nga (47ngành)
- X34: Toán, Tin học, Tiếng Pháp (47ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (52ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (43ngành)
- R04: Ngữ văn, Biểu diễn nghệ thuật, Năng khiếu văn hóa nghệ thuật (43ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (43ngành)
- H09: Ngữ Văn, Địa, Năng khiếu (43ngành)
- H10; H11; H06: Ngữ Văn, Ngoại ngữ, năng khiếu (43ngành)
- X35: Toán, Công nghệ công nghiệp, Tiếng Pháp (47ngành)
- X83: Ngữ văn, Tin học, Tiếng Nga (43ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (47ngành)
- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (43ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (47ngành)
- X84: Ngữ văn, Công nghệ công nghiệp, Tiếng Nga (43ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (47ngành)
- T09: Ngữ văn, Lịch sử, năng khiếu thể dục thể thao (43ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (43ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (47ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (47ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (47ngành)
- X57: Toán, Tin học, Công nghệ nông nghiệp (47ngành)
- X19: Toán, Lịch sử, Công nghệ công nghiệp (48ngành)
- X20: Toán, Lịch sử, Công nghệ nông nghiệp (47ngành)
- X18: Toán, Lịch sử, Tin học (48ngành)
- X99: Ngữ văn, Tin học, Tiếng Nhật (43ngành)
- X76: Ngữ văn, Địa lí, Công nghệ công nghiệp (43ngành)
- Y08: Ngữ văn, GDKTPL, Công nghệ công nghiệp (43ngành)
- X77: Ngữ văn, Địa lí, Công nghệ nông nghiệp (43ngành)
- Y09: Ngữ văn, GDKTPL, Công nghệ nông nghiệp (43ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (43ngành)
- X64: Ngữ văn, Hóa học, Công nghệ công nghiệp (43ngành)
- X65: Ngữ văn, Hóa học, Công nghệ nông nghiệp (43ngành)
- X63: Ngữ văn, Hóa học, Tin học (43ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (43ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (43ngành)
- X68: Ngữ văn, Sinh học, Công nghệ công nghiệp (43ngành)
- X69: Ngữ văn, Sinh học, Công nghệ nông nghiệp (43ngành)
- X67: Ngữ văn, Sinh học, Tin học (43ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (43ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (43ngành)
- Y10: Ngữ văn, Tin học, Công nghệ công nghiệp (43ngành)
- Y11: Ngữ văn, Tin học, Công nghệ nông nghiệp (43ngành)
- X60: Ngữ văn, Vật lí, Công nghệ công nghiệp (43ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (43ngành)
- X61: Ngữ văn, Vật lí, Công nghệ nông nghiệp (43ngành)
- X59: Ngữ văn, Vật lí, Tin học (43ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (43ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (47ngành)
