Mã khối,Môn xét tuyển,Mã trường,Tên trường,Số ngành
C03,"Ngữ văn, Toán, Lịch sử",NHH,Học Viện Ngân Hàng,3ngành
C03,"Ngữ văn, Toán, Lịch sử",SPH,Trường Đại Học Sư Phạm Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",SPS,Trường Đại Học Sư Phạm TPHCM,6ngành
C03,"Ngữ văn, Toán, Lịch sử",HNM,Trường Đại học Thủ Đô Hà Nội,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DCN,Đại Học Công Nghiệp Hà Nội,1ngành
C03,"Ngữ văn, Toán, Lịch sử",HPN,Học Viện Phụ Nữ Việt Nam,15ngành
C03,"Ngữ văn, Toán, Lịch sử",ANH,Học Viện An Ninh Nhân Dân,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,21ngành
C03,"Ngữ văn, Toán, Lịch sử",DCT,Trường Đại Học Công Thương TPHCM,11ngành
C03,"Ngữ văn, Toán, Lịch sử",HHK,Học Viện Hàng không Việt Nam,33ngành
C03,"Ngữ văn, Toán, Lịch sử",PKA,Đại Học Phenikaa,31ngành
C03,"Ngữ văn, Toán, Lịch sử",TDM,Trường Đại học Thủ Dầu Một,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DTL,Trường Đại Học Thăng Long,5ngành
C03,"Ngữ văn, Toán, Lịch sử",TLA,Trường Đại Học Thủy Lợi,2ngành
C03,"Ngữ văn, Toán, Lịch sử",VHH,Trường Đại Học Văn Hóa Hà Nội,19ngành
C03,"Ngữ văn, Toán, Lịch sử",DTT,Trường Đại Học Tôn Đức Thắng,11ngành
C03,"Ngữ văn, Toán, Lịch sử",HVN,Học Viện Nông Nghiệp Việt Nam,20ngành
C03,"Ngữ văn, Toán, Lịch sử",HBT,Học viện Báo chí và Tuyên truyền,14ngành
C03,"Ngữ văn, Toán, Lịch sử",QHT,Trường Đại Học Khoa Học Tự Nhiên Hà Nội,6ngành
C03,"Ngữ văn, Toán, Lịch sử",QHE,Trường Đại Học Kinh Tế - ĐHQG Hà Nội,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DTS,Đại Học Sư Phạm Thái Nguyên,2ngành
C03,"Ngữ văn, Toán, Lịch sử",LCH,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,2ngành
C03,"Ngữ văn, Toán, Lịch sử",TCT,Đại Học Cần Thơ,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DKS,Trường Đại học Kiểm Sát,7ngành
C03,"Ngữ văn, Toán, Lịch sử",BPH,Học Viện Biên Phòng,5ngành
C03,"Ngữ văn, Toán, Lịch sử",QHL,Trường Đại học Luật – ĐHQG Hà Nội,3ngành
C03,"Ngữ văn, Toán, Lịch sử",DHS,Trường Đại Học Sư Phạm Huế,3ngành
C03,"Ngữ văn, Toán, Lịch sử",SGD,Trường Đại Học Sài Gòn,34ngành
C03,"Ngữ văn, Toán, Lịch sử",DDS,Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,11ngành
C03,"Ngữ văn, Toán, Lịch sử",SP2,Trường Đại Học Sư Phạm Hà Nội 2,1ngành
C03,"Ngữ văn, Toán, Lịch sử",QHS,Trường Đại Học Giáo Dục - ĐHQG Hà Nội,6ngành
C03,"Ngữ văn, Toán, Lịch sử",VHS,Trường Đại Học Văn Hóa TPHCM,12ngành
C03,"Ngữ văn, Toán, Lịch sử",DMS,Trường Đại Học Tài Chính Marketing,21ngành
C03,"Ngữ văn, Toán, Lịch sử",TSN,Trường Đại Học Nha Trang,6ngành
C03,"Ngữ văn, Toán, Lịch sử",THV,Trường Đại Học Hùng Vương,1ngành
C03,"Ngữ văn, Toán, Lịch sử",THP,Trường Đại Học Hải Phòng,21ngành
C03,"Ngữ văn, Toán, Lịch sử",LDA,Trường Đại Học Công Đoàn,5ngành
C03,"Ngữ văn, Toán, Lịch sử",HHA,Trường Đại Học Hàng Hải Việt Nam,13ngành
C03,"Ngữ văn, Toán, Lịch sử",TDV,Trường Đại Học Vinh,7ngành
C03,"Ngữ văn, Toán, Lịch sử",HCH,Học Viện Hành Chính và Quản trị công,11ngành
C03,"Ngữ văn, Toán, Lịch sử",SPD,Trường Đại Học Đồng Tháp,11ngành
C03,"Ngữ văn, Toán, Lịch sử",QHK,Trường Khoa học liên ngành và Nghệ thuật Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TTN,Trường Đại Học Tây Nguyên,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DQN,Trường Đại Học Quy Nhơn,9ngành
C03,"Ngữ văn, Toán, Lịch sử",GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,2ngành
C03,"Ngữ văn, Toán, Lịch sử",HLU,Trường Đại Học Hạ Long,6ngành
C03,"Ngữ văn, Toán, Lịch sử",DKT,Trường Đại Học Hải Dương,14ngành
C03,"Ngữ văn, Toán, Lịch sử",DQB,Trường Đại Học Quảng Bình,4ngành
C03,"Ngữ văn, Toán, Lịch sử",DPQ,Trường Đại Học Phạm Văn Đồng,3ngành
C03,"Ngữ văn, Toán, Lịch sử",HHT,Trường Đại Học Hà Tĩnh,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DMT,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,18ngành
C03,"Ngữ văn, Toán, Lịch sử",DLX,Trường Đại Học Lao Động – Xã Hội,3ngành
C03,"Ngữ văn, Toán, Lịch sử",DBL,Trường Đại Học Bạc Liêu,10ngành
C03,"Ngữ văn, Toán, Lịch sử",DQU,Trường Đại Học Quảng Nam,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),1ngành
C03,"Ngữ văn, Toán, Lịch sử",DPY,Trường Đại Học Phú Yên,4ngành
C03,"Ngữ văn, Toán, Lịch sử",DDP,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,6ngành
C03,"Ngữ văn, Toán, Lịch sử",KCC,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,1ngành
C03,"Ngữ văn, Toán, Lịch sử",NLS,Trường Đại Học Nông Lâm TPHCM,2ngành
C03,"Ngữ văn, Toán, Lịch sử",HVC,Học viện cán bộ TPHCM,5ngành
C03,"Ngữ văn, Toán, Lịch sử",SKH,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,23ngành
C03,"Ngữ văn, Toán, Lịch sử",MBS,Trường Đại Học Mở TPHCM,4ngành
C03,"Ngữ văn, Toán, Lịch sử",GTA,Trường Đại học Công nghệ Giao thông vận tải,1ngành
C03,"Ngữ văn, Toán, Lịch sử",MDA,Trường Đại Học Mỏ Địa Chất,16ngành
C03,"Ngữ văn, Toán, Lịch sử",DPD,Trường Đại Học Phương Đông,2ngành
C03,"Ngữ văn, Toán, Lịch sử",VLU,Trường Đại học Công nghệ kỹ thuật Vĩnh Long,40ngành
C03,"Ngữ văn, Toán, Lịch sử",DQK,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",UKH,Trường Đại học Khánh Hòa,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DHI,Khoa Quốc tế - Đại học Huế,3ngành
C03,"Ngữ văn, Toán, Lịch sử",CMC,Trường Đại Học CMC,18ngành
C03,"Ngữ văn, Toán, Lịch sử",NTT,Trường Đại Học Nguyễn Tất Thành,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DHK,Trường Đại Học Kinh Tế - Đại Học Huế,22ngành
C03,"Ngữ văn, Toán, Lịch sử",DTC,Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên,26ngành
C03,"Ngữ văn, Toán, Lịch sử",DDT,Đại Học Duy Tân,14ngành
C03,"Ngữ văn, Toán, Lịch sử",DNC,Trường Đại học Nam Cần Thơ,15ngành
C03,"Ngữ văn, Toán, Lịch sử",HIU,Trường Đại Học Quốc Tế Hồng Bàng,23ngành
C03,"Ngữ văn, Toán, Lịch sử",TTU,Trường Đại học Tân Tạo,2ngành
C03,"Ngữ văn, Toán, Lịch sử",TTD,Trường Đại Học Thể Dục Thể Thao Đà Nẵng,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DCL,Trường Đại Học Cửu Long,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DVL,Trường Đại Học Văn Lang,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DDN,Trường Đại Học Đại Nam,55ngành
C03,"Ngữ văn, Toán, Lịch sử",DAD,Trường Đại Học Đông Á,57ngành
C03,"Ngữ văn, Toán, Lịch sử",VGU,Trường Đại Học Việt Đức,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),2ngành
C03,"Ngữ văn, Toán, Lịch sử",SDU,Trường Đại học Sao Đỏ,19ngành
C03,"Ngữ văn, Toán, Lịch sử",NLN,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DKC,Trường Đại học Công Nghệ TPHCM,58ngành
C03,"Ngữ văn, Toán, Lịch sử",DDU,Trường Đại Học Đông Đô,10ngành
C03,"Ngữ văn, Toán, Lịch sử",DLH,Trường Đại Học Lạc Hồng,16ngành
C03,"Ngữ văn, Toán, Lịch sử",DYD,Trường Đại Học Yersin Đà Lạt,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TDD,Trường Đại học Thành Đô,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DBD,Trường Đại Học Bình Dương,11ngành
C03,"Ngữ văn, Toán, Lịch sử",DTV,Trường Đại Học Lương Thế Vinh,8ngành
C03,"Ngữ văn, Toán, Lịch sử",BVU,Trường Đại Học Bà Rịa – Vũng Tàu,15ngành
C03,"Ngữ văn, Toán, Lịch sử",MIT,Trường Đại học Công nghệ Miền Đông,23ngành
C03,"Ngữ văn, Toán, Lịch sử",DKB,Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương,9ngành
C03,"Ngữ văn, Toán, Lịch sử",UEF,Trường Đại Học Kinh Tế Tài Chính TPHCM,37ngành
C03,"Ngữ văn, Toán, Lịch sử",TTG,Trường Đại Học Tiền Giang,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DTE,Trường Đại học Kinh tế và Quản trị kinh doanh Thái Nguyên,1ngành
C03,"Ngữ văn, Toán, Lịch sử",SKV,Trường Đại Học Sư Phạm Kỹ Thuật Vinh,3ngành
C03,"Ngữ văn, Toán, Lịch sử",CEA,Trường Đại học Nghệ An,15ngành
C03,"Ngữ văn, Toán, Lịch sử",LNH,Trường Đại Học Lâm nghiệp,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DQT,Trường Đại Học Quang Trung,3ngành
C03,"Ngữ văn, Toán, Lịch sử",HSU,Trường Đại Học Hoa Sen,33ngành
C03,"Ngữ văn, Toán, Lịch sử",DVP,Trường Đại Học Trưng Vương,3ngành
C03,"Ngữ văn, Toán, Lịch sử",EIU,Trường Đại Học Quốc Tế Miền Đông,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DTB,Trường Đại Học Thái Bình,12ngành
C03,"Ngữ văn, Toán, Lịch sử",HVD,Học Viện Dân Tộc,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DHT,Trường Đại Học Khoa Học Huế,5ngành
C03,"Ngữ văn, Toán, Lịch sử",DTZ,Trường Đại Học Khoa Học Thái Nguyên,20ngành
C03,"Ngữ văn, Toán, Lịch sử",HDT,Trường Đại Học Hồng Đức,17ngành
C03,"Ngữ văn, Toán, Lịch sử",DNU,Trường Đại Học Đồng Nai,3ngành
C03,"Ngữ văn, Toán, Lịch sử",LNS,Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai,12ngành
C03,"Ngữ văn, Toán, Lịch sử",DTM,Trường Đại học Tài Nguyên và Môi Trường TPHCM,20ngành
C03,"Ngữ văn, Toán, Lịch sử",NTU,Trường Đại Học Nguyễn Trãi,6ngành
C03,"Ngữ văn, Toán, Lịch sử",CCM,Trường Đại học Công nghiệp và Thương mại Hà Nội,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DHL,Trường Đại Học Nông Lâm Huế,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DTQ,Khoa Quốc Tế - Đại Học Thái Nguyên,5ngành
C03,"Ngữ văn, Toán, Lịch sử",SIU,Trường Đại học Quốc Tế Sài Gòn,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DCA,Trường Đại học Intracom,1ngành
C03,"Ngữ văn, Toán, Lịch sử",SKN,Trường Đại Học Sư Phạm Kỹ Thuật Nam Định,16ngành
C03,"Ngữ văn, Toán, Lịch sử",UMT,Trường Đại học Quản lý và công nghệ TPHCM,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DCQ,Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,12ngành
C03,"Ngữ văn, Toán, Lịch sử",TBD,Trường Đại Học Thái Bình Dương,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DHV,Trường Đại học Hùng Vương TPHCM,5ngành
C03,"Ngữ văn, Toán, Lịch sử",DPX,Trường Đại Học Phú Xuân,3ngành
C03,"Ngữ văn, Toán, Lịch sử",MTU,Trường Đại Học Xây Dựng Miền Tây,3ngành
C03,"Ngữ văn, Toán, Lịch sử",VHD,Trường Đại Học Công Nghiệp Việt - Hung,21ngành
C03,"Ngữ văn, Toán, Lịch sử",LNA,Phân hiệu Đại học Lâm nghiệp tỉnh Gia Lai,1ngành
C03,"Ngữ văn, Toán, Lịch sử",GDU,Trường Đại Học Gia Định,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DDM,Trường Đại Học Công Nghiệp Quảng Ninh,12ngành
C03,"Ngữ văn, Toán, Lịch sử",DSG,Trường Đại Học Công Nghệ Sài Gòn,23ngành
C03,"Ngữ văn, Toán, Lịch sử",DBG,Trường Đại học Nông Lâm Bắc Giang,20ngành
C03,"Ngữ văn, Toán, Lịch sử",TTB,Trường Đại Học Tây Bắc,11ngành
C03,"Ngữ văn, Toán, Lịch sử",TDL,Trường Đại Học Đà Lạt,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DTP,Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai,5ngành
C03,"Ngữ văn, Toán, Lịch sử",TQU,Trường Đại học Tân Trào,12ngành
C03,"Ngữ văn, Toán, Lịch sử",TKG,Trường Đại học Kiên Giang,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DVD,"Trường Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",8ngành
C03,"Ngữ văn, Toán, Lịch sử",DNB,Trường Đại Học Hoa Lư,5ngành
C03,"Ngữ văn, Toán, Lịch sử",DDA,Trường Đại Học Công Nghệ Đông Á,16ngành
C00,"Ngữ văn, Lịch sử, Địa lí",NHH,Học Viện Ngân Hàng,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SPH,Trường Đại Học Sư Phạm Hà Nội,19ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SPS,Trường Đại Học Sư Phạm TPHCM,16ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HNM,Trường Đại học Thủ Đô Hà Nội,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HPN,Học Viện Phụ Nữ Việt Nam,14ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DCT,Trường Đại Học Công Thương TPHCM,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HHK,Học Viện Hàng không Việt Nam,18ngành
C00,"Ngữ văn, Lịch sử, Địa lí",PKA,Đại Học Phenikaa,13ngành
C00,"Ngữ văn, Lịch sử, Địa lí",YTC,Trường Đại Học Y Tế Công Cộng,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HQT,Học Viện Ngoại Giao,8ngành
C00,"Ngữ văn, Lịch sử, Địa lí",YCT,Trường Đại Học Y Dược Cần Thơ,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TDM,Trường Đại học Thủ Dầu Một,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTL,Trường Đại Học Thăng Long,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TLA,Trường Đại Học Thủy Lợi,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",VHH,Trường Đại Học Văn Hóa Hà Nội,19ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTT,Trường Đại Học Tôn Đức Thắng,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HVN,Học Viện Nông Nghiệp Việt Nam,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",QHX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,15ngành
C00,"Ngữ văn, Lịch sử, Địa lí",LPH,Trường Đại Học Luật Hà Nội,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTS,Đại Học Sư Phạm Thái Nguyên,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TCT,Đại Học Cần Thơ,19ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHS,Trường Đại Học Sư Phạm Huế,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SGD,Trường Đại Học Sài Gòn,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HTA,Học viện Tòa án,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDS,Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,12ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SP2,Trường Đại Học Sư Phạm Hà Nội 2,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",QHS,Trường Đại Học Giáo Dục - ĐHQG Hà Nội,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",VHS,Trường Đại Học Văn Hóa TPHCM,12ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HTN,Học Viện Thanh Thiếu Niên Việt Nam,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",LPS,Trường Đại Học Luật TPHCM,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHF,Trường Đại Học Ngoại Ngữ Huế,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TSN,Trường Đại Học Nha Trang,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",THV,Trường Đại Học Hùng Vương,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",THP,Trường Đại Học Hải Phòng,8ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HCP,Học Viện Chính Sách và Phát Triển,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",MHN,Trường Đại Học Mở Hà Nội,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",LDA,Trường Đại Học Công Đoàn,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HHA,Trường Đại Học Hàng Hải Việt Nam,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TDV,Trường Đại Học Vinh,14ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HCH,Học Viện Hành Chính và Quản trị công,16ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SPD,Trường Đại Học Đồng Tháp,14ngành
C00,"Ngữ văn, Lịch sử, Địa lí",QHK,Trường Khoa học liên ngành và Nghệ thuật Hà Nội,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TTN,Trường Đại Học Tây Nguyên,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DQN,Trường Đại Học Quy Nhơn,12ngành
C00,"Ngữ văn, Lịch sử, Địa lí",GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HLU,Trường Đại Học Hạ Long,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DKT,Trường Đại Học Hải Dương,8ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DQB,Trường Đại Học Quảng Bình,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DPQ,Trường Đại Học Phạm Văn Đồng,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HHT,Trường Đại Học Hà Tĩnh,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DMT,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DLX,Trường Đại Học Lao Động – Xã Hội,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DBL,Trường Đại Học Bạc Liêu,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DQU,Trường Đại Học Quảng Nam,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DPY,Trường Đại Học Phú Yên,3ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDP,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TDH,Trường Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",KCC,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DVT,Đại Học Trà Vinh,10ngành
C00,"Ngữ văn, Lịch sử, Địa lí",NLS,Trường Đại Học Nông Lâm TPHCM,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HVC,Học viện cán bộ TPHCM,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",MBS,Trường Đại Học Mở TPHCM,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",FBU,Trường Đại Học Tài Chính Ngân Hàng Hà Nội,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",GTA,Trường Đại học Công nghệ Giao thông vận tải,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDL,Trường Đại Học Điện Lực,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DPD,Trường Đại Học Phương Đông,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",VLU,Trường Đại học Công nghệ kỹ thuật Vĩnh Long,11ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DQK,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",UKH,Trường Đại học Khánh Hòa,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHI,Khoa Quốc tế - Đại học Huế,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",CMC,Trường Đại Học CMC,13ngành
C00,"Ngữ văn, Lịch sử, Địa lí",NTT,Trường Đại Học Nguyễn Tất Thành,17ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHD,Trường Du Lịch - Đại Học Huế,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HVQ,Học Viện Quản Lý Giáo Dục,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDT,Đại Học Duy Tân,14ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DNC,Trường Đại học Nam Cần Thơ,8ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HIU,Trường Đại Học Quốc Tế Hồng Bàng,27ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TTU,Trường Đại học Tân Tạo,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DCL,Trường Đại Học Cửu Long,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DVL,Trường Đại Học Văn Lang,10ngành
C00,"Ngữ văn, Lịch sử, Địa lí",UKB,Trường Đại Học Kinh Bắc,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",ETU,Trường Đại Học Hòa Bình,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDN,Trường Đại Học Đại Nam,47ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DAD,Trường Đại Học Đông Á,46ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",SDU,Trường Đại học Sao Đỏ,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",NLN,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTD,Trường Đại Học Tây Đô,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DKC,Trường Đại học Công Nghệ TPHCM,36ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDU,Trường Đại Học Đông Đô,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DLH,Trường Đại Học Lạc Hồng,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DDB,Trường Đại Học Thành Đông,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHA,Trường Đại học Luật Huế,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DYD,Trường Đại Học Yersin Đà Lạt,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TDD,Trường Đại học Thành Đô,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DBD,Trường Đại Học Bình Dương,4ngành
C00,"Ngữ văn, Lịch sử, Địa lí",VJU,Trường Đại học Việt Nhật - ĐHQG Hà Nội,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",BVU,Trường Đại Học Bà Rịa – Vũng Tàu,39ngành
C00,"Ngữ văn, Lịch sử, Địa lí",MIT,Trường Đại học Công nghệ Miền Đông,24ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DKB,Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",TTG,Trường Đại Học Tiền Giang,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTE,Trường Đại học Kinh tế và Quản trị kinh doanh Thái Nguyên,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DNT,Trường Đại Học Ngoại Ngữ Tin Học TPHCM,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",CEA,Trường Đại học Nghệ An,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",LNH,Trường Đại Học Lâm nghiệp,10ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DVH,Trường Đại Học Văn Hiến,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DQT,Trường Đại Học Quang Trung,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HSU,Trường Đại Học Hoa Sen,26ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DPT,Trường Đại Học Phan Thiết,6ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DVP,Trường Đại Học Trưng Vương,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DCD,Trường Đại Học Công Nghệ Đồng Nai,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTB,Trường Đại Học Thái Bình,7ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HVD,Học Viện Dân Tộc,1ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DHT,Trường Đại Học Khoa Học Huế,9ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DTZ,Trường Đại Học Khoa Học Thái Nguyên,19ngành
C00,"Ngữ văn, Lịch sử, Địa lí",HDT,Trường Đại Học Hồng Đức,8ngành
C00,"Ngữ văn, Lịch sử, Địa lí",DNU,Trường Đại Học Đồng Nai,2ngành
C00,"Ngữ văn, Lịch sử, Địa lí",LNS,Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai,5ngành
C00,"Ngữ văn, Lịch sử, Địa lí",NTU,Trường Đại Học Nguyễn Trãi,4ngành
